1,1,124
1,2,133
1,3,153
1,4,136
1,5,134
1,6,167
1,7,140
1,8,107
1,9,120
1,10,137
1,11,142
1,12,133
1,13,117
1,14,96
1,15,93
1,16,80
1,17,74
1,18,116
1,19,110
1,20,133
1,21,129
1,22,154
1,23,146
1,24,116
1,25,100
1,26,97
1,27,76
1,28,77
1,29,94
1,30,99
1,31,93
2,1,94
2,2,118
2,3,127
2,4,144
2,5,167
2,6,171
2,7,147
2,8,147
2,9,147
2,10,137
2,11,158
2,12,161
2,13,147
2,14,130
2,15,113
2,16,103
2,17,106
2,18,127
2,19,126
2,20,133
2,21,136
2,22,146
2,23,158
2,24,153
2,25,171
2,26,207
2,27,220
2,28,196
3,1,155
3,2,158
3,3,161
3,4,141
3,5,154
3,6,127
3,7,134
3,8,116
3,9,111
3,10,113
3,11,111
3,12,132
3,13,112
3,14,109
3,15,111
3,16,122
3,17,126
3,18,136
3,19,141
3,20,139
3,21,126
3,22,146
3,23,151
3,24,137
3,25,136
3,26,112
3,27,115
3,28,122
3,29,118
3,30,101
3,31,118
4,1,96
4,2,114
4,3,133
4,4,158
4,5,135
4,6,121
4,7,114
4,8,117
4,9,94
4,10,65
4,11,61
4,12,73
4,13,80
4,14,105
4,15,145
4,16,187
4,17,199
4,18,178
4,19,178
4,20,173
4,21,150
4,22,123
4,23,85
4,24,72
4,25,57
4,26,45
4,27,77
4,28,80
4,29,77
4,30,82
5,1,88
5,2,115
5,3,123
5,4,127
5,5,142
5,6,148
5,7,120
5,8,132
5,9,139
5,10,123
5,11,150
5,12,154
5,13,133
5,14,166
5,15,156
5,16,133
5,17,151
5,18,138
5,19,102
5,20,87
5,21,85
5,22,66
5,23,91
5,24,109
5,25,109
5,26,91
5,27,78
5,28,70
5,29,48
5,30,55
5,31,57
6,1,64
6,2,62
6,3,74
6,4,64
6,5,87
6,6,119
6,7,133
6,8,142
6,9,156
6,10,162
6,11,174
6,12,197
6,13,182
6,14,137
6,15,74
6,16,84
6,17,95
6,18,120
6,19,95
6,20,80
6,21,93
6,22,90
6,23,77
6,24,40
6,25,55
6,26,67
6,27,67
6,28,71
6,29,93
6,30,132
7,1,134
7,2,145
7,3,167
7,4,172
7,5,194
7,6,185
7,7,197
7,8,183
7,9,162
7,10,161
7,11,144
7,12,119
7,13,86
7,14,62
7,15,18
7,16,10
7,17,0
7,18,15
7,19,35
7,20,35
7,21,17
7,22,39
7,23,65
7,24,62
7,25,64
7,26,58
7,27,78
7,28,109
7,29,137
7,30,122
7,31,131
8,1,165
8,2,165
8,3,153
8,4,146
8,5,128
8,6,113
8,7,123
8,8,89
8,9,83
8,10,62
8,11,69
8,12,75
8,13,79
8,14,86
8,15,107
8,16,109
8,17,116
8,18,105
8,19,93
8,20,102
8,21,120
8,22,125
8,23,150
8,24,149
8,25,116
8,26,86
8,27,95
8,28,82
8,29,66
8,30,76
8,31,82
9,1,96
9,2,110
9,3,102
9,4,120
9,5,116
9,6,142
9,7,165
9,8,154
9,9,175
9,10,169
9,11,160
9,12,126
9,13,125
9,14,104
9,15,94
9,16,114
9,17,123
9,18,82
9,19,79
9,20,80
9,21,95
9,22,101
9,23,119
9,24,108
9,25,144
9,26,165
9,27,181
9,28,193
9,29,180
9,30,178
10,1,135
10,2,126
10,3,117
10,4,105
10,5,89
10,6,68
10,7,68
10,8,74
10,9,59
10,10,36
10,11,30
10,12,30
10,13,42
10,14,74
10,15,89
10,16,70
10,17,64
10,18,61
10,19,92
10,20,110
10,21,107
10,22,123
10,23,132
10,24,138
10,25,136
10,26,132
10,27,107
10,28,101
10,29,92
10,30,102
10,31,80
11,1,90
11,2,98
11,3,112
11,4,109
11,5,137
11,6,101
11,7,106
11,8,86
11,9,75
11,10,69
11,11,89
11,12,92
11,13,112
11,14,102
11,15,111
11,16,103
11,17,99
11,18,77
11,19,65
11,20,74
11,21,75
11,22,84
11,23,78
11,24,103
11,25,117
11,26,139
11,27,152
11,28,143
11,29,157
11,30,154
12,1,141
12,2,125
12,3,115
12,4,93
12,5,65
12,6,57
12,7,57
12,8,71
12,9,69
12,10,90
12,11,104
12,12,115
12,13,140
12,14,162
12,15,166
12,16,175
12,17,178
12,18,154
12,19,175
12,20,138
12,21,137
12,22,118
12,23,115
12,24,93
12,25,97
12,26,88
12,27,91
12,28,100
12,29,94
12,30,88
12,31,88
