Date,S&P Percent Change
9/17/2013,0.13%
9/18/2013,0.49%
9/19/2013,-0.05%
9/20/2013,0.00%
9/21/2013,0.00%
9/22/2013,-0.80%
9/23/2013,-0.58%
9/24/2013,0.78%
9/25/2013,-1.62%
9/26/2013,0.86%
9/27/2013,0.00%
9/28/2013,0.00%
9/29/2013,-0.25%
9/30/2013,-0.28%
10/1/2013,-1.32%
10/2/2013,0.00%
10/3/2013,1.12%
10/4/2013,0.00%
10/5/2013,0.00%
10/6/2013,-0.16%
10/7/2013,-1.51%
10/8/2013,1.75%
10/9/2013,-2.07%
10/10/2013,-1.15%
10/11/2013,0.00%
10/12/2013,0.00%
10/13/2013,-1.65%
10/14/2013,0.16%
10/15/2013,-0.81%
10/16/2013,0.01%
10/17/2013,1.29%
10/18/2013,0.00%
10/19/2013,0.00%
10/20/2013,0.91%
10/21/2013,1.96%
10/22/2013,-0.73%
10/23/2013,1.23%
10/24/2013,0.71%
10/25/2013,0.00%
10/26/2013,0.00%
10/27/2013,-0.15%
10/28/2013,1.19%
10/29/2013,-0.14%
10/30/2013,0.62%
10/31/2013,1.17%
11/1/2013,0.00%
11/2/2013,0.00%
11/3/2013,-0.01%
11/4/2013,-0.28%
11/5/2013,0.57%
11/6/2013,0.38%
11/7/2013,0.04%
11/8/2013,0.00%
11/9/2013,0.00%
11/10/2013,0.31%
11/11/2013,0.07%
11/12/2013,-0.07%
11/13/2013,0.05%
11/14/2013,0.02%
11/15/2013,0.00%
11/16/2013,0.00%
11/17/2013,0.07%
11/18/2013,0.51%
11/19/2013,-0.15%
11/20/2013,0.20%
11/21/2013,0.52%
11/22/2013,0.00%
11/23/2013,0.00%
11/24/2013,0.00%
11/25/2013,0.29%
11/26/2013,-0.12%
11/27/2013,0.28%
11/28/2013,-0.25%
11/29/2013,0.00%
11/30/2013,0.00%
12/1/2013,-0.68%
12/2/2013,0.64%
12/3/2013,0.38%
12/4/2013,-0.12%
12/5/2013,0.17%
12/6/2013,0.00%
12/7/2013,0.00%
12/8/2013,-0.73%
12/9/2013,-0.02%
12/10/2013,-1.64%
12/11/2013,0.45%
12/12/2013,-1.62%
12/13/2013,0.00%
12/14/2013,0.00%
12/15/2013,-0.63%
12/16/2013,-0.85%
12/17/2013,2.04%
12/18/2013,2.40%
12/19/2013,0.46%
12/20/2013,0.00%
12/21/2013,0.00%
12/22/2013,0.00%
12/23/2013,0.38%
12/24/2013,0.17%
12/25/2013,-0.01%
12/26/2013,0.33%
12/27/2013,0.00%
12/28/2013,0.00%
12/29/2013,0.09%
12/30/2013,-0.49%
12/31/2013,-1.03%
